Disease,Description,
Drug Reaction,Uma reação adversa a medicamentos (RAM) é uma lesão causada pelo uso de medicamentos. As RAMs podem ocorrer após uma única dose ou administração prolongada de um medicamento ou resultar da combinação de dois ou mais medicamentos.,
Malaria,Uma doença infecciosa causada por parasitas protozoários da família Plasmodium que podem ser transmitidos pela picada do mosquito Anopheles ou por uma agulha contaminada ou transfusão. A malária por Plasmodium falciparum é a mais mortal.,
Allergy,"Uma alergia é uma resposta do sistema imunológico a uma substância estranha que normalmente não é prejudicial ao corpo. Pode incluir certos alimentos, pólen ou pelos de animais. A função do sistema imunológico é mantê-lo saudável combatendo patógenos prejudiciais.",
Hypothyroidism,"Hipotireoidismo, também conhecido como tireoide subativa ou baixa tireoide, é um distúrbio do sistema endócrino em que a glândula tireoide não produz hormônio tireoidiano suficiente.",
Psoriasis,"A psoríase é um distúrbio de pele comum que forma manchas espessas, vermelhas e elevadas cobertas com escamas prateadas. Elas podem aparecer em qualquer lugar, mas a maioria surge no couro cabeludo, cotovelos, joelhos e parte inferior das costas. A psoríase não pode ser transmitida de pessoa para pessoa e às vezes ocorre em membros da mesma família.",
GERD,"A doença do refluxo gastroesofágico, ou DRGE, é um distúrbio digestivo que afeta o esfíncter esofágico inferior (EEI), o anel de músculo entre o esôfago e o estômago. Muitas pessoas, incluindo mulheres grávidas, sofrem de azia ou indigestão ácida causada pela DRGE.",
Chronic cholestasis,"Doenças colestaticas crônicas, quer ocorram na infância, na adolescência ou na idade adulta, caracterizam-se pelo transporte defeituoso de ácidos biliares do fígado para o intestino, causado por dano primário ao epitélio biliar na maioria dos casos.",
hepatitis A,A hepatite A é uma infecção altamente contagiosa do fígado causada pelo vírus da hepatite A. O vírus é um dos vários tipos de vírus da hepatite que causam inflamação e afetam a capacidade do fígado de funcionar.,
Osteoarthristis,"A osteoartrite é a forma mais comum de artrite, afetando milhões de pessoas em todo o mundo. Ela ocorre quando a cartilagem protetora que reveste as extremidades dos ossos se desgasta ao longo do tempo.",
(vertigo) Paroymsal  Positional Vertigo,A vertigem posicional paroxística benigna (VPPB) é uma das causas mais comuns de vertigem," a sensação repentina de que você está girando ou que o interior da sua cabeça está girando. A VPPB causa episódios breves de tontura leve a intensa."
Hypoglycemia,A hipoglicemia é uma condição em que o nível de açúcar no sangue (glicose) está mais baixo do que o normal. A glicose é a principal fonte de energia do seu corpo. A hipoglicemia muitas vezes está relacionada ao tratamento de diabetes," mas outros medicamentos e várias condições - muitas delas raras - podem causar baixo nível de açúcar no sangue em pessoas que não têm diabetes."
Acne,"A acne vulgar é a formação de comedões, pápulas, pústulas, nódulos e/ou cistos como resultado da obstrução e inflamação das unidades pilossebáceas (folículos capilares e suas glândulas sebáceas acompanhantes). A acne desenvolve-se no rosto e tronco superior. Afeta mais frequentemente os adolescentes.",
Diabetes,"Diabetes é uma doença que ocorre quando a glicose sanguínea, também chamada de açúcar no sangue, está muito alta. A glicose sanguínea é a principal fonte de energia e provém dos alimentos que você consome. A insulina, um hormônio produzido pelo pâncreas, ajuda a glicose dos alimentos a entrar nas células para ser usada como energia.",
Impetigo,"Impetigo é uma infecção cutânea comum e altamente contagiosa que afeta principalmente bebês e crianças. O impetigo geralmente aparece como feridas vermelhas no rosto, especialmente ao redor do nariz e boca da criança, e nas mãos e pés. As feridas se rompem e desenvolvem crostas de cor amarela.",
Hypertension,"Hipertensão (HTN ou HPB), também conhecida como pressão arterial alta, é uma condição médica crônica em que a pressão arterial nas artérias está persistentemente elevada. A pressão arterial alta geralmente não causa sintomas.",
Peptic ulcer diseae,"A doença da úlcera péptica (DUP) é uma ruptura na camada interna do estômago, na primeira parte do intestino delgado ou, às vezes, no esôfago inferior. Uma úlcera no estômago é chamada de úlcera gástrica, enquanto uma na primeira parte dos intestinos é uma úlcera duodenal.",
Dimorphic hemorrhoids(piles),"Hemorroidas, também escritas hemorroidas, são estruturas vasculares no canal anal. Em sua ... Outros nomes, Hemorroidas, pilhas, doença hemorroidária.",
Common Cold,"O resfriado comum é uma infecção viral do nariz e da garganta (trato respiratório superior). Geralmente é inofensivo, embora possa não parecer assim. Muitos tipos de vírus podem causar um resfriado comum.",
Chicken pox,"A varicela é uma doença altamente contagiosa causada pelo vírus varicela-zoster (VZV). Pode causar uma erupção cutânea semelhante a bolhas e com coceira. A erupção aparece primeiro no peito, nas costas e no rosto e depois se espalha por todo o corpo, causando entre 250 e 500 bolhas coceira.",
Cervical spondylosis,"A espondilose cervical é um termo geral para o desgaste relacionado à idade que afeta os discos da coluna vertebral no pescoço. À medida que os discos desidratam e encolhem, sinais de osteoartrite se desenvolvem, incluindo projeções ósseas ao longo das bordas dos ossos (osteofitos).",
Hyperthyroidism,"O hipertireoidismo (tireoide hiperativa) ocorre quando a glândula tireoide produz excesso do hormônio tiroxina. O hipertireoidismo pode acelerar o metabolismo do seu corpo, causando perda de peso não intencional e batimentos cardíacos rápidos ou irregulares.",
Urinary tract infection,"Infecção do trato urinário: uma infecção nos rins, ureteres, bexiga ou uretra. Abreviado como ITU. Nem todas as pessoas com ITU apresentam sintomas, mas os sintomas comuns incluem vontade frequente de urinar e dor ou ardência ao urinar.",
Varicose veins,"Uma veia que se dilatou e torceu, muitas vezes aparecendo como um vaso sanguíneo azul e protuberante que é claramente visível através da pele. Varizes são mais comuns em adultos mais velhos, especialmente mulheres, e ocorrem principalmente nas pernas.",
AIDS,"Síndrome da imunodeficiência adquirida (AIDS) é uma condição crônica e potencialmente fatal causada pelo vírus da imunodeficiência humana (HIV). Ao danificar o sistema imunológico, o HIV interfere na capacidade do corpo de combater infecções e doenças.",
Paralysis (brain hemorrhage),"Hemorragia intracerebral (HIC) é quando o sangue irrompe repentinamente no tecido cerebral, causando danos ao cérebro. Os sintomas geralmente aparecem repentinamente durante a HIC. Eles incluem dor de cabeça, fraqueza, confusão e paralisia, particularmente de um lado do corpo.",
Typhoid,"Uma doença aguda caracterizada por febre causada pela infecção com a bactéria Salmonella typhi. A febre tifoide tem um início insidioso, com febre, dor de cabeça, constipação, mal-estar, calafrios e dores musculares. A diarreia é incomum, e o vômito geralmente não é grave.",
Hepatitis B,"A hepatite B é uma infecção do fígado. Pode causar cicatrizes no órgão, falência hepática e câncer. Pode ser fatal se não for tratada. É transmitida quando as pessoas entram em contato com o sangue, feridas abertas ou fluidos corporais de alguém que tem o vírus da hepatite B.",
Fungal infection,"Em humanos, infecções fúngicas ocorrem quando um fungo invasor toma conta de uma área do corpo e é demais para o sistema imunológico lidar. Fungos podem viver no ar, solo, água e plantas. Também há alguns fungos que vivem naturalmente no corpo humano. Como muitos micróbios, há fungos úteis e prejudiciais.",
Hepatitis C,"Inflamação do fígado devido ao vírus da hepatite C (HCV), que geralmente é transmitido por transfusão de sangue (rara), hemodiálise e agulhadas. O dano causado pela hepatite C ao fígado pode levar à cirrose e suas complicações, bem como ao câncer.",
Migraine,"Uma enxaqueca pode causar dor intensa latejante ou uma sensação pulsante, geralmente em um lado da cabeça. Frequentemente é acompanhada de náuseas, vômitos e extrema sensibilidade à luz e ao som. Ataques de enxaqueca podem durar horas a dias, e a dor pode ser tão intensa a ponto de interferir nas atividades diárias.",
Bronchial Asthma,"A asma brônquica é uma condição médica que causa o inchaço e a estreitamento das vias aéreas dos pulmões. Devido a esse inchaço, as vias aéreas produzem muco em excesso, dificultando a respiração, o que resulta em tosse, falta de ar e chiado. A doença é crônica e interfere no funcionamento diário.",
Alcoholic hepatitis,"A hepatite alcoólica é uma condição inflamatória do fígado causada pelo consumo excessivo de álcool ao longo de um período prolongado. Também é agravada pelo consumo excessivo e uso contínuo de álcool. Se você desenvolver essa condição, é preciso parar de beber álcool.",
Jaundice,"Coloração amarelada da pele e esclerótica (parte branca dos olhos) devido a níveis anormalmente altos de bilirrubina no sangue. O amarelamento se estende a outros tecidos e fluidos corporais. A icterícia já foi chamada de ""morbus regius"" (a doença real) na crença de que apenas o toque de um rei poderia curá-la.",
Hepatitis E,Uma forma rara de inflamação hepática causada por infecção com o vírus da hepatite E (VHE). É transmitida através de alimentos ou bebidas manipulados por uma pessoa infectada ou por meio de suprimentos de água infectados em áreas onde matéria fecal pode entrar na água. A hepatite E não causa doença hepática crônica.,
Dengue,"Uma doença infecciosa aguda causada por um flavivírus (espécie Dengue vírus do gênero Flavivírus), transmitida por mosquitos Aedes, e caracterizada por dor de cabeça, dor articular grave e erupção cutânea. Também chamada de febre quebrada, febre da dengue.",
Hepatitis D,"Hepatite D, também conhecida como vírus da hepatite delta, é uma infecção que causa inflamação no fígado. Esse inchaço pode prejudicar a função hepática e causar problemas hepáticos a longo prazo, incluindo cicatrizes no fígado e câncer. A condição é causada pelo vírus da hepatite D (HDV).",
Heart attack,"A morte do músculo cardíaco devido à perda de suprimento sanguíneo. A perda de suprimento sanguíneo é geralmente causada por um bloqueio completo de uma artéria coronária, uma das artérias que fornecem sangue ao músculo cardíaco.",
Pneumonia,"A pneumonia é uma infecção em um ou ambos os pulmões. Bactérias, vírus e fungos a causam. A infecção causa inflamação nos sacos de ar nos pulmões, chamados de alvéolos. Os alvéolos se enchem de fluido ou pus, dificultando a respiração.",
Arthritis,"Artrite é o inchaço e a sensibilidade de uma ou mais de suas articulações. Os principais sintomas da artrite são dor e rigidez nas articulações, que geralmente pioram com a idade. Os tipos mais comuns de artrite são osteoartrite e artrite reumatoide.",
Gastroenteritis,"A gastroenterite é uma inflamação do trato digestivo, especialmente do estômago e intestinos grosso e delgado. A gastroenterite viral e bacteriana são infecções intestinais associadas a sintomas de diarreia, cólicas abdominais, náuseas e vômitos.",
Tuberculosis,"A tuberculose (TB) é uma doença infecciosa geralmente causada por bactérias Mycobacterium tuberculosis (MTB). A tuberculose afeta principalmente os pulmões, mas também pode afetar outras partes do corpo. A maioria das infecções não apresenta sintomas, nesse caso é conhecida como tuberculose latente.",