Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,pare a irritação,consulte o hospital mais próximo,pare de tomar o medicamento,acompanhe o tratamento
Malaria,Consulte o hospital mais próximo,evite comida oleosa,evite carne não vegetariana,mantenha os mosquitos afastados
Allergy,aplique calamina,cubra a área com bandagem,use gelo para aliviar a coceira,
Hypothyroidism,Reduza o estresse,faça exercícios,coma saudável,tenha um sono adequado
Psoriasis,lave as mãos com água morna e sabão,pare o sangramento usando pressão,consulte um médico,banhos de sal
GERD,evite comida picante e gordurosa,evite deitar após comer,mantenha um peso saudável,faça exercícios
Chronic cholestasis,banhos frios,medicamentos anticoceira,consulte um médico,coma saudável
hepatitis A,Consulte o hospital mais próximo,lave as mãos regularmente,evite comida picante e gordurosa,medicação
Osteoarthristis,acetaminofeno,consulte o hospital mais próximo,acompanhe o tratamento,banhos de sal
(vertigo) Paroymsal  Positional Vertigo,deite-se,evite mudanças bruscas no corpo,evite movimentos bruscos da cabeça,relaxe
Hypoglycemia,deite de lado,verifique o pulso,beba bebidas açucaradas,consulte um médico
Acne,tome banho duas vezes,evite comida picante e gordurosa,beba muita água,evite muitos produtos
"Diabetes ",tenha uma dieta equilibrada,faça exercícios,consulte um médico,acompanhe o tratamento
Impetigo,mergulhe a área afetada em água morna,use antibióticos,remova as crostas com um pano úmido,consulte um médico
"Hypertension ",meditação,banhos de sal,reda o estresse,tenha um sono adequado
Peptic ulcer diseae,evite comida picante e gordurosa,consuma alimentos probióticos,elimine o leite,limite o consumo de álcool
Dimorphic hemmorhoids(piles),evite comida picante e gordurosa,consuma hamamélis,banho morno com sal de epsom,consuma suco de aloe vera
Common Cold,beba bebidas ricas em vitamina C,tome vapor,evite comida fria,mantenha a febre sob controle
Chicken pox,use nim no banho,consuma folhas de nim,tome vacina,evite lugares públicos
Cervical spondylosis,use bolsa de aquecimento ou compressa fria,faça exercícios,tome analgésicos de venda livre,consulte um médico
Hyperthyroidism,coma saudável,faça massagem,use bálsamo de limão,faça tratamento com iodo radioativo
Urinary tract infection,beba muita água,aumente a ingestão de vitamina C,beba suco de cranberry,tome probióticos
Varicose veins,deite-se de barriga para cima e levante a perna,use pomadas,use compressão nas veias,não fique parado por muito tempo
AIDS,evite cortes abertos,use EPI se possível,consulte um médico,acompanhe o tratamento
Paralysis (brain hemorrhage),faça massagem,coma saudável,faça exercícios,consulte um médico
Typhoid,consuma vegetais ricos em calorias,terapia com antibióticos,consulte um médico,medicação
Hepatitis B,consulte o hospital mais próximo,vacinação,coma saudável,medicação
Fungal infection,tome banho duas vezes,use detol ou nim na água do banho,mantenha a área infectada seca,use roupas limpas
Hepatitis C,consulte o hospital mais próximo,vacinação,coma saudável,medicação
Migraine,meditação,reda o estresse,use óculos de pólo na luz solar,consulte um médico
Bronchial Asthma,mude para roupas folgadas,respire fundo,afaste-se do gatilho,procure ajuda
Alcoholic hepatitis,pare de consumir álcool,consulte um médico,medicação,acompanhe o tratamento
Jaundice,beba muita água,consuma cardo de leite,coma frutas e alimentos ricos em fibras,medicação
Hepatitis E,pare de consumir álcool,descanse,consulte um médico,medicação
Dengue,beba suco de folha de mamão,evite comida picante e gordurosa,mantenha os mosquitos afastados,mantenha-se hidratado
Hepatitis D,consulte um médico,medicação,coma saudável,acompanhe o tratamento
Heart attack,ligue para a ambulância,mastigue ou engula aspirina,fique calmo,
Pneumonia,consulte um médico,medicação,descanse,acompanhe o tratamento
Arthritis,faça exercícios,use terapia quente e fria,tente acupuntura,massagem
Gastroenteritis,pare de comer alimentos sólidos por um tempo,tente tomar pequenos goles de água,descanse,volte a comer gradualmente
Tuberculosis,cubra a boca,consulte um médico,medicação,descanse